id,oracion
146,"sabrina munhoz , data scientist en luca ( grupo telefónica ) , explicará cómo el bigdata puede crear valor social , mientras que sebastián sajoux , fundador y ceo de arqlite , presentará una respuesta innovadora al problema de los residuos no reciclables ."
147,"basándose en el conocimiento de las audiencias , y en sus pilares de innovación y tecnología , el medio anunció cuáles serán los ejes que guiarán las decisiones de la nueva gerencia comercial : digital , bigdata y brand studio ."
148,"pablo salvatori , jefe de desarrollo comercial digital , y pablo giudici , jefe de bigdata y analytics , destacaron que clarín es el número uno en calidad , ya que detecta personas y no cookies , interpretando - a través de bigdata - sus intereses y hábitos de consumo reales ."
149,"iván de pineda junto a todos los expositores : pablo salvatori , jefe de desarrollo comercial digital , ignacio giménez zapiola , maría eugenia amadasi , gerente de marketing y estrategia , santiago arieu , jefe de desarrollo comercial y brand studio , y pablo giudici , jefe de bigdata y analytics ."
150,"' integrados a bigdata , tenemos acceso a la audiencia multiplataforma de clarín y , a través de redes_sociales , a la audiencia extendida , donde monitoreamos en tiempo real tendencias y comportamientos de los usuarios ."
151,"por mariana pernasespecial para claríncon el foco de sus inversiones en seguridad informática , bigdata , infraestructura , servicios en la nube e internet de las cosas ( iot ) , las empresas locales quieren avanzar , aunque todavía lo hacen tímidamente , hacia las tecnologías que habiliten la transformación digital de su estrategia de negocios ."
152,"' es un aspecto que viene ganando relevancia , no sólo porque en las empresas se multiplicaron los puntos de acceso desde que los empleados pueden utilizar allí sus propios dispositivos , sino también porque la adopción de otras tecnologías emergentes que crecen , como bigdata , iot y servicios en la nube , despiertan preocupaciones en torno a la seguridad ' , expresa ignacio perrone , gerente de industria de transformación digital de frost & sullivan ."
153,"en los próximos dos años el 51% de las firmas prevé invertir en bigdata y herramientas analíticas , en tanto que el 47% lo hará también en iot ."
154,"de acuerdo con el relevamiento de frost&sullivan , las tecnologías con mayor impacto en la generación de ingresos son , para los ejecutivos encuestados , los sistemas orientados a mejorar la experiencia del cliente ( 33% de las respuestas ) , las soluciones de comunicaciones unificadas y colaboración ( 28% ) , y el data center , bigdata e iot ( 23% cada una ) ."
155,"cabandié había cuestionado firmemente el uso de bigdata del gobierno nacional con ' fines políticos , electorales ' ."
156,"comprender mejor el ego . tipos de ego y de qué forma te limitan psicologia gente egocentrica toda esta base de datos sin catalogar se sometió a una revisión por bigdata , una técnica que permite procesar grandes volúmenes de información ."
157,"mediante el registro de los usos de los estudiantes , la plataforma permite flexibilidad y adaptabilidad a la particularidad de cada uno , utilizando las herramientas y algoritmos de bigdata para optimizar el aprendizaje ."
158,"desde ayer integran un consejo consultivo de innovación aplicada , que colaborará con las iniciativas que lleva adelante el ministerio de modernización de la ciudad , desde las aplicaciones del gobierno porteño para el celular hasta proyectos de bigdata para obtener información sobre potenciales turistas ."
159,"desde cómo contribuir con innovación para crear una alternativa al zoológico actual hasta cómo duplicar la cantidad de puntos gratuitos de wifi , pasando por un proyecto de bigdata para atraer turismo ."
160,"esta incertidumbre abarca también a los especialistas en las problemáticas del mercado laboral , que se preparan para hacer frente a este desafío , tal como será analizado en el foro . bigdata y análisis de la información , protección del medio ambiente , energías renovables , biotecnología , robótica , investigación aeroespacial ."
